 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Out-Dez/2021
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"350080 ALFREDO MARCONDES";-;-;-;-;5;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;9
"350090 ALTAIR";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350100 ALTINOPOLIS";-;-;-;-;19;3;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;26
"350110 ALTO ALEGRE";-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"350115 ALUMINIO";-;-;-;-;4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;8
"350120 ALVARES FLORENCE";-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350130 ALVARES MACHADO";-;-;-;-;27;1;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;31
"350140 ALVARO DE CARVALHO";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350150 ALVINLANDIA";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350160 AMERICANA";-;-;-;1;114;9;4;7;-;-;-;1;1;-;-;1;2;1;-;-;-;-;1;-;-;-;2;144
"350170 AMERICO BRASILIENSE";-;-;-;-;11;5;2;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;22
"350180 AMERICO DE CAMPOS";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"350190 AMPARO";-;-;-;3;49;9;3;-;-;-;-;2;3;-;1;2;-;-;-;2;-;-;-;-;-;1;-;75
"350200 ANALANDIA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;3
"350210 ANDRADINA";-;-;-;2;44;7;3;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;2;-;-;-;-;60
"350220 ANGATUBA";-;-;-;1;22;4;2;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;31
"350230 ANHEMBI";-;-;-;-;9;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"350240 ANHUMAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1
"350250 APARECIDA";-;-;-;1;25;4;2;-;-;-;-;-;-;-;2;-;2;-;-;2;-;-;2;-;-;-;-;40
"350260 APARECIDA D'OESTE";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;8
"350270 APIAI";-;-;-;1;19;-;-;2;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;24
"350275 ARACARIGUAMA";-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350280 ARACATUBA";1;-;-;-;150;25;4;6;-;-;-;-;-;-;4;3;-;-;-;6;-;-;14;1;-;-;1;215
"350290 ARACOIABA DA SERRA";-;-;-;-;17;1;1;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;22
"350300 ARAMINA";-;-;-;-;8;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"350310 ARANDU";-;-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"350315 ARAPEI";-;-;-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350320 ARARAQUARA";-;-;-;7;107;24;3;2;-;-;-;2;-;-;8;9;4;1;-;3;-;-;5;2;-;-;-;177
"350330 ARARAS";-;-;-;-;53;15;-;1;-;-;-;1;-;-;1;4;-;2;-;4;-;-;5;-;-;-;-;86
"350335 ARCO-IRIS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350340 AREALVA";-;-;-;-;3;5;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10
"350350 AREIAS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350360 AREIOPOLIS";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350370 ARIRANHA";-;-;-;-;5;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;8
"350380 ARTUR NOGUEIRA";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;2;-;-;-;-;7
"350390 ARUJA";-;-;-;-;35;6;1;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;48
"350395 ASPASIA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350400 ASSIS";-;-;-;2;53;9;2;-;-;-;-;1;-;-;1;2;-;-;-;-;-;-;4;2;-;-;-;76
"350410 ATIBAIA";-;-;-;20;67;8;2;1;-;-;-;2;-;-;4;2;2;-;-;2;-;-;2;-;-;-;-;112
"350420 AURIFLAMA";-;-;-;1;14;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"350430 AVAI";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"350440 AVANHANDAVA";-;-;-;-;15;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;19
"350450 AVARE";-;-;-;-;73;5;-;-;-;-;-;2;1;-;2;2;1;-;-;1;-;-;3;-;-;-;-;90
"350460 BADY BASSITT";-;-;-;-;10;4;-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;-;-;1;19
"350470 BALBINOS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350480 BALSAMO";-;-;-;-;8;3;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;13
"350490 BANANAL";-;-;-;-;4;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;7
"350500 BARAO DE ANTONINA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"350510 BARBOSA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;4
"350520 BARIRI";-;-;-;1;33;1;-;1;-;-;-;-;-;-;1;2;-;-;-;-;-;-;1;-;-;-;-;40
"350530 BARRA BONITA";-;-;-;-;28;7;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;38
"350535 BARRA DO CHAPEU";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"350540 BARRA DO TURVO";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350550 BARRETOS";-;-;-;3;106;16;5;3;-;-;-;1;-;-;4;4;3;-;-;-;-;-;4;2;-;-;-;151
"350560 BARRINHA";-;-;-;-;10;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;16
"350570 BARUERI";-;-;-;-;189;40;8;-;1;-;-;4;1;-;3;10;4;1;2;7;-;-;16;1;-;-;-;287
"350580 BASTOS";-;-;-;-;16;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;4;-;-;-;-;22
"350590 BATATAIS";-;-;-;-;48;7;-;-;-;-;-;1;-;-;-;1;3;-;-;-;-;-;2;1;-;-;-;63
"350600 BAURU";-;-;-;-;169;61;4;2;-;-;-;4;-;-;9;10;7;1;-;7;1;-;5;1;-;-;-;281
"350610 BEBEDOURO";-;-;-;1;51;7;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;2;-;-;-;-;64
"350620 BENTO DE ABREU";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;7
"350630 BERNARDINO DE CAMPOS";-;-;-;-;11;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"350635 BERTIOGA";-;-;-;-;33;5;2;-;-;-;-;1;-;-;-;2;1;-;1;1;-;-;-;-;-;-;-;46
"350640 BILAC";-;-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;11
"350650 BIRIGUI";-;-;-;-;72;8;3;1;-;-;-;-;2;-;1;3;2;-;-;3;-;-;4;2;-;-;-;101
"350660 BIRITIBA-MIRIM";-;-;-;-;10;4;1;-;-;-;-;2;-;-;-;3;-;-;-;-;-;-;2;2;-;-;-;24
"350670 BOA ESPERANCA DO SUL";-;-;-;1;6;3;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;13
"350680 BOCAINA";-;-;-;-;10;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;4;-;-;-;-;18
"350690 BOFETE";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;11
"350700 BOITUVA";-;-;-;-;35;5;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;43
"350710 BOM JESUS DOS PERDOES";-;-;-;-;10;1;-;1;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;-;-;-;-;16
"350715 BOM SUCESSO DE ITARARE";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;4
"350720 BORA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350730 BORACEIA";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350740 BORBOREMA";-;-;-;1;8;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;14
"350745 BOREBI";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"350750 BOTUCATU";-;-;-;-;125;9;1;-;-;-;-;1;-;-;5;8;1;2;-;-;-;-;5;1;-;-;2;160
"350760 BRAGANCA PAULISTA";-;-;-;12;108;14;2;1;-;-;-;2;-;-;6;8;3;-;-;2;-;-;6;-;-;-;-;164
"350770 BRAUNA";-;-;-;1;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"350780 BRODOWSKI";1;-;-;-;7;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"350790 BROTAS";-;-;-;-;17;4;-;-;-;-;-;1;-;-;1;1;2;-;-;-;-;-;1;-;-;-;-;27
"350800 BURI";-;-;-;-;8;-;2;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;14
"350810 BURITAMA";-;-;-;-;18;1;3;-;-;-;-;-;2;-;-;2;-;-;-;-;-;-;1;-;-;-;-;27
"350820 BURITIZAL";-;-;-;-;4;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2;-;-;-;-;10
"350830 CABRALIA PAULISTA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350840 CABREUVA";-;-;-;-;8;1;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;12
"350850 CACAPAVA";-;-;-;5;67;9;4;-;-;-;-;3;-;-;1;3;3;-;-;-;-;-;2;-;-;-;-;97
"350860 CACHOEIRA PAULISTA";-;-;-;-;22;8;3;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;36
"350870 CACONDE";-;-;-;1;14;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;18
"350880 CAFELANDIA";-;-;-;-;11;1;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;2;-;-;-;-;17
"350890 CAIABU";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"350900 CAIEIRAS";-;-;-;-;37;6;5;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;54
"350910 CAIUA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"350920 CAJAMAR";-;-;-;3;39;2;3;1;-;-;-;-;-;-;1;2;1;-;-;1;-;-;2;-;-;-;-;55
"350925 CAJATI";-;-;-;-;18;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;21
"350930 CAJOBI";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;6
"350940 CAJURU";-;-;-;4;25;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;33
"350945 CAMPINA DO MONTE ALEGRE";-;-;-;-;8;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"350950 CAMPINAS";-;-;-;30;600;70;10;6;1;-;-;13;4;-;15;20;14;4;-;20;1;-;30;7;-;1;1;847
"350960 CAMPO LIMPO PAULISTA";-;-;-;-;51;8;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;63
"350970 CAMPOS DO JORDAO";-;-;-;-;42;1;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;47
"350980 CAMPOS NOVOS PAULISTA";-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;10
"350990 CANANEIA";-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"350995 CANAS";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;5
"351000 CANDIDO MOTA";-;-;-;-;27;6;2;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;38
"351010 CANDIDO RODRIGUES";-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351015 CANITAR";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351020 CAPAO BONITO";-;-;-;2;27;2;1;1;-;-;-;1;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;37
"351030 CAPELA DO ALTO";-;-;-;-;11;-;-;1;-;-;-;1;-;-;-;-;2;-;-;1;-;-;-;-;-;-;-;16
"351040 CAPIVARI";-;-;-;3;23;3;2;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;1;-;-;-;-;35
"351050 CARAGUATATUBA";-;-;-;8;78;17;2;-;-;-;-;1;-;-;1;12;1;-;-;-;-;-;2;-;-;-;-;122
"351060 CARAPICUIBA";-;-;-;1;204;19;3;1;-;-;-;4;2;-;1;6;4;-;-;3;-;1;17;1;-;-;1;268
"351070 CARDOSO";-;-;-;-;9;3;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;18
"351080 CASA BRANCA";-;-;-;-;13;-;-;1;-;-;-;-;-;-;1;1;2;1;-;-;-;-;2;-;-;-;-;21
"351090 CASSIA DOS COQUEIROS";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351100 CASTILHO";-;-;-;3;18;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26
"351110 CATANDUVA";-;-;-;-;82;5;1;1;-;-;-;-;-;-;1;1;3;-;-;1;-;-;2;-;-;-;-;97
"351120 CATIGUA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351130 CEDRAL";-;-;-;-;6;2;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;11
"351140 CERQUEIRA CESAR";-;-;-;1;21;3;-;-;-;-;-;1;-;-;-;1;2;-;-;1;-;-;1;-;-;-;-;31
"351150 CERQUILHO";-;-;-;-;22;2;3;2;-;-;-;-;1;-;-;3;-;-;-;1;-;-;-;1;-;-;-;35
"351160 CESARIO LANGE";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;13
"351170 CHARQUEADA";-;-;-;1;6;1;1;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;12
"351190 CLEMENTINA";-;-;-;-;8;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;11
"351200 COLINA";-;-;-;1;23;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;28
"351210 COLOMBIA";-;-;-;-;7;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;2;-;-;-;-;11
"351220 CONCHAL";-;-;-;-;14;3;1;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;22
"351230 CONCHAS";-;-;-;-;10;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;12
"351240 CORDEIROPOLIS";-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;6
"351250 COROADOS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351260 CORONEL MACEDO";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351280 COSMOPOLIS";-;-;-;15;28;1;2;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;1;-;-;-;52
"351290 COSMORAMA";-;-;-;1;6;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"351300 COTIA";-;-;1;1;149;9;2;-;-;-;-;6;1;-;2;7;6;-;-;3;-;-;10;-;-;-;1;198
"351310 CRAVINHOS";-;-;-;-;14;-;2;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;19
"351320 CRISTAIS PAULISTA";-;-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351330 CRUZALIA";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351340 CRUZEIRO";-;-;-;-;85;10;1;-;-;-;-;1;-;-;-;2;3;-;-;-;-;-;2;-;-;-;-;104
"351350 CUBATAO";-;-;-;-;46;10;3;1;-;-;-;-;-;-;1;1;1;1;-;2;-;-;7;2;-;-;-;75
"351360 CUNHA";-;-;-;-;35;-;2;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;41
"351370 DESCALVADO";-;-;-;-;21;-;2;1;-;-;-;2;-;-;2;-;1;-;-;-;-;-;2;-;-;-;-;31
"351380 DIADEMA";-;-;-;9;173;55;3;1;-;-;-;5;-;-;4;8;3;1;-;4;-;-;9;-;-;1;1;277
"351385 DIRCE REIS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351390 DIVINOLANDIA";-;-;-;-;15;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;17
"351400 DOBRADA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;5
"351410 DOIS CORREGOS";-;-;-;-;23;1;3;1;-;-;-;-;-;-;1;1;1;-;-;-;-;-;2;-;-;-;-;33
"351420 DOLCINOPOLIS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351430 DOURADO";-;-;-;-;3;1;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;8
"351440 DRACENA";-;-;-;1;43;4;1;1;-;-;-;1;-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;55
"351450 DUARTINA";-;-;-;-;9;4;1;1;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;18
"351460 DUMONT";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351470 ECHAPORA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351480 ELDORADO";-;-;-;1;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;9
"351490 ELIAS FAUSTO";-;-;-;-;7;2;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;14
"351492 ELISIARIO";-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351495 EMBAUBA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"351500 EMBU DAS ARTES";-;-;-;4;145;18;6;1;-;-;-;2;-;-;3;7;6;-;-;1;-;-;6;-;-;-;1;200
"351510 EMBU-GUACU";-;-;-;1;37;9;3;1;-;-;-;3;-;-;-;2;2;-;-;-;-;-;5;-;-;-;-;63
"351512 EMILIANOPOLIS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"351515 ENGENHEIRO COELHO";-;-;-;-;5;1;-;1;-;-;-;1;-;-;1;1;1;-;-;2;-;-;1;-;-;-;-;14
"351518 ESPIRITO SANTO DO PINHAL";-;-;-;1;31;6;4;1;-;-;-;1;-;-;1;1;1;-;-;-;-;-;1;-;-;-;-;48
"351519 ESPIRITO SANTO DO TURVO";-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351520 ESTRELA D'OESTE";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;7
"351530 ESTRELA DO NORTE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351535 EUCLIDES DA CUNHA PAULISTA";-;-;-;-;7;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9
"351540 FARTURA";-;-;-;5;14;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"351550 FERNANDOPOLIS";-;-;-;-;35;4;1;-;-;-;-;-;-;-;1;2;-;-;-;1;-;-;2;-;-;1;-;47
"351560 FERNANDO PRESTES";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"351565 FERNAO";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351570 FERRAZ DE VASCONCELOS";-;-;-;8;122;9;4;2;-;-;-;2;1;-;2;5;-;1;-;2;-;-;5;1;-;1;-;165
"351580 FLORA RICA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351590 FLOREAL";-;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"351600 FLORIDA PAULISTA";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"351610 FLORINIA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"351620 FRANCA";-;1;-;-;217;25;4;4;-;-;-;7;-;-;6;7;10;7;-;10;-;-;11;2;-;-;-;311
"351630 FRANCISCO MORATO";-;-;-;2;84;10;8;1;-;-;-;6;-;-;-;-;1;-;-;-;-;-;3;-;-;-;-;115
"351640 FRANCO DA ROCHA";-;-;-;1;68;7;7;-;-;-;-;2;-;-;3;3;1;-;-;4;-;-;1;1;-;-;1;99
"351650 GABRIEL MONTEIRO";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"351660 GALIA";-;-;-;-;9;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;11
"351670 GARCA";-;-;-;-;32;8;2;-;-;-;-;2;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;47
"351680 GASTAO VIDIGAL";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"351685 GAVIAO PEIXOTO";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2
"351690 GENERAL SALGADO";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351700 GETULINA";-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"351710 GLICERIO";-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351720 GUAICARA";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"351730 GUAIMBE";-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;10
"351740 GUAIRA";-;-;-;-;20;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
"351750 GUAPIACU";-;-;-;-;10;7;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;19
"351760 GUAPIARA";-;-;-;2;13;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;19
"351770 GUARA";-;-;-;-;15;-;1;-;-;-;-;-;-;-;1;2;-;1;-;-;-;-;2;-;-;-;-;22
"351780 GUARACAI";-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;17
"351790 GUARACI";-;-;-;-;5;1;2;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
